Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,8.23352130661889
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1960,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,8.43593866814932
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,8.63407949596207
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,8.81534505126462
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,8.9723034255813
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,9.11698114874609
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1965,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,9.26227467484218
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,9.42108045795278
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,9.60629495216106
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,9.82929171820225
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,10.1439264299252
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1970,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,10.5964179687854
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,11.1579861872809
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,11.7970225025571
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,12.4819183317594
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,13.1810650920333
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1975,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,13.8628542005242
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1976,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,14.4956770743776
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1977,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,15.0479251307389
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1978,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,15.4844182465257
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1979,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,15.8352387726023
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1980,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,16.16414108945
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1981,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,16.4751642144151
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1982,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,16.7672965803142
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1983,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,17.0395266199639
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1984,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,17.2908427661806
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1985,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,17.5202334517811
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1986,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,17.7266871095817
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1987,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,17.9091921723993
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1988,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,18.0668782773996
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1989,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,18.1962956954221
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1990,0.0
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,18.2983212940893
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1991,0.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,18.3803510644475
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1992,0.004461439
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1993,10.9
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,18.4500145151536
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1993,0.004576275
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1994,3.47343683242798
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,18.5149411548647
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1994,0.007614676
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1995,5.42734336853027
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,18.5827604922377
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1995,0.008478944
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1995,0.000727
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1996,7.37853050231934
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,18.6611020359295
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1996,0.010233296
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1996,0.00884
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1997,9.32631778717041
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,18.7575952945971
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1997,0.023857485
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1997,0.0344
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1998,14.5
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,18.8798697768976
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1998,0.03691479
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1998,0.0503
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1999,13.2088918685913
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,19.0288523643308
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1999,0.079282155
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1999,0.114
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,15.2
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,19.4553832211834
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,0.415770183556447
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,0.318059713612037
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2001,17.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,20.4416297068833
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2001,1.89758301688501
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2001,0.619782266151425
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2002,18.9
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,21.8586568137501
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2002,3.63815196215681
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2002,1.20777388492125
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003,16.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,23.563889811899
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2003,4.72713199362788
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2003,2.94190286101524
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004,22.6
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,25.4147539714454
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2004,7.33478416366219
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2004,3.0235280420962
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2005,24.5
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,27.2686745625048
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2005,12.8838631190706
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2005,3.101900101
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2006,26.4
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,28.9830768551925
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2006,19.8902975525043
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2006,3.599999905
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2007,28.3
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,30.4153861196239
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2007,29.8383317494537
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2007,4.400000095
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2008,30.3
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,31.4230276259143
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2008,41.5840102028368
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,5.199999809
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2009,23.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,31.8603086707305
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2009,47.9215304374475
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,6.1
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2010,19.2
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,31.8713287706458
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2010,60.0234402305252
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2010,7.2
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2011,36.2
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,31.8673949025409
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2011,65.6730161546273
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2011,8.800000191
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2012,38.1
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,31.8558130142761
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2012,70.0226527327794
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2012,10.5
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2013,40.1
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,31.8324454433988
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2013,70.7541086893706
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2013,13.0
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,36.0
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,31.7931545274563
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,73.0327455558393
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,16.5
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,41.6
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,31.7338026039958
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,80.0958263165851
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,16.5878548475992
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,53.1
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,31.6502520105647
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2016,80.9772361004341
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2016,16.6
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,55.8
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,31.5383650847102
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2017,87.026530838819
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2017,17.82710075
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,61.2
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,31.3940041639796
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2018,98.5944679106884
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2018,19.5
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,69.7
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,31.1895566421135
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2019,106.547822056778
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2019,22.6687733618171
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,71.5
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,31.2063494632616
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2020,117.602526394779
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2020,24.7227993
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,76.5
