Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1960,791265459.493816
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1960,1.24378109452731
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,-7.77463490371655
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1961,792959472.816211
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1961,2.45700245700254
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1962,9.45735874072126
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1962,868111400.75544
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1962,3.11750599520378
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1963,8.77834021621184
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1963,926589349.36426
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1963,0.697674418604589
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1964,4.96446728844091
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1964,998759334.496266
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1964,-0.0993048669314341
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1965,2.00909417103099
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1965,997919320.832272
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1965,3.57852882806742
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1966,14.7285664015687
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1966,1164519674.19213
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1966,5.01439539323414
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1967,3.36123203258556
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1967,1232559506.9762
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1967,1.75919579598299
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1968,7.9826899693479
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1968,1353295458.68182
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1968,0.366711570051019
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1969,7.9592244594956
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1969,1458379416.64823
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1969,-0.17150100656233
