Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Category,Infrastructure_Status
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1993,10.9,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1994,3.47343683242798,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1995,5.42734336853027,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1996,7.37853050231934,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1997,9.32631778717041,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1998,14.5,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1999,13.2088918685913,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,15.2,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2001,17.0,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2002,18.9,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003,16.0,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004,22.6,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2005,24.5,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2006,26.4,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2007,28.3,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2008,30.3,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2009,23.0,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2010,19.2,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2011,36.2,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2012,38.1,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2013,40.1,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,36.0,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,41.6,Infrastructure,Infrastructure Gap
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,53.1,Infrastructure,Moderate Infrastructure Access
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,55.8,Infrastructure,Moderate Infrastructure Access
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,61.2,Infrastructure,Moderate Infrastructure Access
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,69.7,Infrastructure,Moderate Infrastructure Access
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,71.5,Infrastructure,Moderate Infrastructure Access
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,76.5,Infrastructure,Moderate Infrastructure Access
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,76.0,Infrastructure,Moderate Infrastructure Access
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,76.2,Infrastructure,Moderate Infrastructure Access
