Year,Internet_Usage
1990,0.0
1995,0.000727
1996,0.00884
1997,0.0344
1998,0.0503
1999,0.114
2000,0.318059713612037
2001,0.619782266151425
2002,1.20777388492125
2003,2.94190286101524
2004,3.0235280420962
2005,3.101900101
2006,3.599999905
2007,4.400000095
2008,5.199999809
2009,6.1
2010,7.2
2011,8.800000191
2012,10.5
2013,13.0
2014,16.5
2015,16.5878548475992
2016,16.6
2017,17.82710075
2018,19.5
2019,22.6687733618171
2020,24.7227993
2021,26.96290016
2022,29.40589905
2023,32.07040024
2024,34.97622513
