Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Category
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,48.477,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1960,7695307.0,Population
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1960,791265459.493816,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1960,1.24378109452731,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1961,49.33,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1961,7987770.0,Population
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,-7.77463490371655,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1961,792959472.816211,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1961,2.45700245700254,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1962,50.104,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1962,8299308.0,Population
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1962,9.45735874072126,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1962,868111400.75544,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1962,3.11750599520378,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1963,50.758,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1963,8627971.0,Population
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1963,8.77834021621184,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1963,926589349.36426,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1963,0.697674418604589,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1964,51.323,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1964,8973535.0,Population
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1964,4.96446728844091,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1964,998759334.496266,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1964,-0.0993048669314341,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1965,51.886,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1965,9338078.0,Population
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1965,2.00909417103099,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1965,997919320.832272,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1965,3.57852882806742,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1966,52.383,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1966,9717816.0,Population
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1966,14.7285664015687,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1966,1164519674.19213,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1966,5.01439539323414,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1967,52.796,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1967,10111057.0,Population
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1967,3.36123203258556,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1967,1232559506.9762,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1967,1.75919579598299,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1968,53.302,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1968,10518823.0,Population
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1968,7.9826899693479,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1968,1353295458.68182,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1968,0.366711570051019,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1969,53.734,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1969,10939695.0,Population
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1969,7.9592244594956,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1969,1458379416.64823,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1969,-0.17150100656233,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1970,54.143,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1970,11368791.0,Population
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1970,60.2659912109375,Education
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1970,-4.65544691647621,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1970,1603447358.62106,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1970,2.18852703907439,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1971,54.543,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1971,11788904.0,Population
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1971,61.7012405395508,Education
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1971,22.1738919255764,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1971,1778391288.64348,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1971,3.78020612544907,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1972,55.013,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1972,12206060.0,Population
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1972,65.2331085205078,Education
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1972,17.082429349983,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1972,2107279157.08834,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1972,5.83164474311005,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1973,55.5,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1973,12634835.0,Population
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1973,67.9078598022461,Education
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1973,5.89658021016672,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1973,2509001324.34591,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1973,9.28119422332106,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1974,56.039,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1974,13070078.0,Population
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1974,100.311813354492,Education
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1974,4.06561734893735,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1974,2969958812.01648,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1974,17.8099480331818,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1975,56.62,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1975,13511671.0,Population
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1975,102.894416809082,Education
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,0.882203175319148,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1975,3259345083.26283,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,19.1201840136051,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1976,57.153,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1976,13957623.0,Population
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1976,99.1563110351562,Education
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,2.15396450322561,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1976,3474542391.69992,Economy
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,11.4490304932756,Economy
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1977,57.684,Health
Kenya,KEN,"Population, total",SP.POP.TOTL,1977,14428819.0,Population
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1977,98.9096374511719,Education
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,9.45379784408087,Economy
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1977,4494378764.32011,Economy
