Year,Mobile_Subscriptions
1960,0.0
1965,0.0
1970,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.004461439
1993,0.004576275
1994,0.007614676
1995,0.008478944
1996,0.010233296
1997,0.023857485
1998,0.03691479
1999,0.079282155
2000,0.415770183556447
2001,1.89758301688501
2002,3.63815196215681
2003,4.72713199362788
2004,7.33478416366219
2005,12.8838631190706
2006,19.8902975525043
2007,29.8383317494537
2008,41.5840102028368
2009,47.9215304374475
2010,60.0234402305252
2011,65.6730161546273
2012,70.0226527327794
2013,70.7541086893706
2014,73.0327455558393
2015,80.0958263165851
2016,80.9772361004341
2017,87.026530838819
2018,98.5944679106884
2019,106.547822056778
2020,117.602526394779
2021,122.297519656734
2022,121.168999135357
2023,120.612416887959
2024,126.477706000949
