Year,GDP Growth,Inflation,Economic_Risk,Economic_Risk_Score,Economic_Risk_Label
1961,-7.77463490371655,2.45700245700254,Moderate Risk,2,Moderate Risk
1962,9.45735874072126,3.11750599520378,Stable Growth,1,Stable Growth
1963,8.77834021621184,0.697674418604589,Stable Growth,1,Stable Growth
1964,4.96446728844091,-0.0993048669314341,Stable Growth,1,Stable Growth
1965,2.00909417103099,3.57852882806742,Moderate Risk,2,Moderate Risk
1966,14.7285664015687,5.01439539323414,Stable Growth,1,Stable Growth
1967,3.36123203258556,1.75919579598299,Moderate Risk,2,Moderate Risk
1968,7.9826899693479,0.366711570051019,Stable Growth,1,Stable Growth
1969,7.9592244594956,-0.17150100656233,Stable Growth,1,Stable Growth
1970,-4.65544691647621,2.18852703907439,Moderate Risk,2,Moderate Risk
1971,22.1738919255764,3.78020612544907,Stable Growth,1,Stable Growth
1972,17.082429349983,5.83164474311005,Stable Growth,1,Stable Growth
1973,5.89658021016672,9.28119422332106,Stable Growth,2,Moderate Risk
1974,4.06561734893735,17.8099480331818,Stable Growth,2,Moderate Risk
1975,0.882203175319148,19.1201840136051,High Economic Risk,3,High Economic Risk
1976,2.15396450322561,11.4490304932756,Moderate Risk,2,Moderate Risk
1977,9.45379784408087,14.8209644818935,Stable Growth,2,Moderate Risk
1978,6.91249354626197,16.9317824582842,Stable Growth,2,Moderate Risk
1979,7.61522604591983,7.97935261848786,Stable Growth,1,Stable Growth
1980,5.5919762059677,13.8581814562484,Stable Growth,2,Moderate Risk
1981,3.77354419402822,11.6030534351142,Moderate Risk,2,Moderate Risk
1982,1.50647825757706,20.6667146662827,High Economic Risk,3,High Economic Risk
1983,1.3090502411486,11.3977827368523,High Economic Risk,3,High Economic Risk
1984,1.75521697703473,10.284098213138,High Economic Risk,3,High Economic Risk
1985,4.30056181879613,13.0065664218827,Stable Growth,2,Moderate Risk
1986,7.17755539065963,2.53427598892888,Stable Growth,1,Stable Growth
1987,5.93710744420895,8.63767318980084,Stable Growth,2,Moderate Risk
1988,6.20318382314591,12.2649630481582,Stable Growth,2,Moderate Risk
1989,4.69034876792047,13.7893172763883,Stable Growth,2,Moderate Risk
1990,4.19205097155167,17.78181442992,Stable Growth,2,Moderate Risk
1991,1.43834679171559,20.0844955754632,High Economic Risk,3,High Economic Risk
1992,-0.799493958641349,27.3323644475784,High Economic Risk,3,High Economic Risk
1993,0.353197256227247,45.9788813036218,High Economic Risk,3,High Economic Risk
1994,2.632784517837,28.8143894306731,Moderate Risk,2,Moderate Risk
1995,4.40621652482287,1.55432816055009,Stable Growth,1,Stable Growth
1996,4.14683926876013,8.86408741577522,Stable Growth,2,Moderate Risk
1997,0.474901921293579,11.3618450505783,High Economic Risk,3,High Economic Risk
1998,3.29021372249065,6.72243650753928,Moderate Risk,2,Moderate Risk
1999,2.30538859522412,5.74200109520484,Moderate Risk,2,Moderate Risk
2000,0.599695390807426,9.98002515350979,High Economic Risk,3,High Economic Risk
2001,3.77990649795343,5.73859814341467,Moderate Risk,2,Moderate Risk
2002,0.546859530175595,1.96130821739162,Moderate Risk,2,Moderate Risk
2003,2.93247554570904,9.81569062979654,Moderate Risk,2,Moderate Risk
2004,5.10429977629738,11.6240355442426,Stable Growth,2,Moderate Risk
2005,5.90666607980057,10.3127783574683,Stable Growth,2,Moderate Risk
2006,6.47249430015484,14.4537342081708,Stable Growth,2,Moderate Risk
2007,6.85072976998784,9.75888023027529,Stable Growth,2,Moderate Risk
2008,0.232282744812977,26.2398166445063,High Economic Risk,3,High Economic Risk
2009,3.30693981631089,9.23412592394652,Moderate Risk,2,Moderate Risk
2010,8.05847360290906,3.96138889115385,Stable Growth,1,Stable Growth
2011,5.1211061197056,14.0224913014704,Stable Growth,2,Moderate Risk
2012,4.56867961444982,9.37777003547598,Stable Growth,2,Moderate Risk
2013,3.7978483925754,5.71749357037733,Moderate Risk,2,Moderate Risk
2014,5.02011100232484,6.87815499275949,Stable Growth,1,Stable Growth
2015,4.96772112759767,6.58215429284779,Stable Growth,1,Stable Growth
2016,4.21351706814744,6.29724953814625,Stable Growth,1,Stable Growth
2017,3.83795817364721,8.00564967709945,Moderate Risk,2,Moderate Risk
2018,5.64794640709219,4.6898064677633,Stable Growth,1,Stable Growth
2019,5.11415885767801,5.23963795764792,Stable Growth,1,Stable Growth
2020,-0.272766327438816,5.40516207933392,Moderate Risk,2,Moderate Risk
2021,7.59048947333467,6.10793603659176,Stable Growth,1,Stable Growth
2022,4.85998104287999,7.65986268272224,Stable Growth,1,Stable Growth
2023,5.71999241214208,7.67139634029402,Stable Growth,1,Stable Growth
2024,4.72473994710138,4.48978854243448,Stable Growth,1,Stable Growth
