Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,48.477
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,8.23352130661889
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1961,49.33
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,8.43593866814932
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1961,3.73009594178482
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1962,50.104
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,8.63407949596207
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1962,3.82605158835613
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1963,50.758
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,8.81534505126462
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1963,3.88372295387027
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1964,51.323
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,8.9723034255813
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1964,3.92703224813929
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1965,51.886
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,9.11698114874609
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1965,3.98207596273243
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1966,52.383
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,9.26227467484218
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1966,3.98604523872044
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1967,52.796
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,9.42108045795278
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1967,3.96686756505209
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1968,53.302
