Year,Urban_Population
1960,8.23352130661889
1961,8.43593866814932
1962,8.63407949596207
1963,8.81534505126462
1964,8.9723034255813
1965,9.11698114874609
1966,9.26227467484218
1967,9.42108045795278
1968,9.60629495216106
1969,9.82929171820225
1970,10.1439264299252
1971,10.5964179687854
1972,11.1579861872809
1973,11.7970225025571
1974,12.4819183317594
1975,13.1810650920333
1976,13.8628542005242
1977,14.4956770743776
1978,15.0479251307389
1979,15.4844182465257
1980,15.8352387726023
1981,16.16414108945
1982,16.4751642144151
1983,16.7672965803142
1984,17.0395266199639
1985,17.2908427661806
1986,17.5202334517811
1987,17.7266871095817
1988,17.9091921723993
1989,18.0668782773996
1990,18.1962956954221
1991,18.2983212940893
1992,18.3803510644475
1993,18.4500145151536
1994,18.5149411548647
1995,18.5827604922377
1996,18.6611020359295
1997,18.7575952945971
1998,18.8798697768976
1999,19.0288523643308
2000,19.4553832211834
2001,20.4416297068833
2002,21.8586568137501
2003,23.563889811899
2004,25.4147539714454
2005,27.2686745625048
2006,28.9830768551925
2007,30.4153861196239
2008,31.4230276259143
2009,31.8603086707305
2010,31.8713287706458
2011,31.8673949025409
2012,31.8558130142761
2013,31.8324454433988
2014,31.7931545274563
2015,31.7338026039958
2016,31.6502520105647
2017,31.5383650847102
2018,31.3940041639796
2019,31.1895566421135
2020,31.2063494632616
2021,31.2879334021971
2022,31.4307820066946
2023,31.6330340816429
2024,31.8937831721599
